Country,Industry,Gas Type,Year,Emissions
Europe,Mining,Greenhouse gas,2015,329.7710777
Europe,Other Services Industries,Greenhouse gas,2015,341.6884472
Europe,Total Households,Greenhouse gas,2015,1212.840463
Europe,Total Industry and Households,Greenhouse gas,2015,7234.257706
Europe,Transportation and Storage,Greenhouse gas,2015,785.6368567
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,287.8555013
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2015,710.8125374
Northern America,Construction,Greenhouse gas,2015,111.983209
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2015,2078.026799
Northern America,Manufacturing,Greenhouse gas,2015,1119.683896
Northern America,Mining,Greenhouse gas,2015,505.712813
Northern America,Other Services Industries,Greenhouse gas,2015,950.0987009
Northern America,Total Households,Greenhouse gas,2015,1149.906962
Northern America,Total Industry and Households,Greenhouse gas,2015,7531.269007
Northern America,Transportation and Storage,Greenhouse gas,2015,857.2970436
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,47.74704609
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2015,125.337625
Oceania,Construction,Greenhouse gas,2015,3.501218334
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2015,203.0872259
Oceania,Manufacturing,Greenhouse gas,2015,62.70778648
Oceania,Mining,Greenhouse gas,2015,63.46060931
Oceania,Other Services Industries,Greenhouse gas,2015,13.04355805
Oceania,Total Households,Greenhouse gas,2015,67.7896369
Oceania,Total Industry and Households,Greenhouse gas,2015,637.8394539
Oceania,Transportation and Storage,Greenhouse gas,2015,84.38754467
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2015,14.52424922
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,857.0290479
Africa,Construction,Greenhouse gas,2016,15.84105325
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,482.3878066
Africa,Manufacturing,Greenhouse gas,2016,398.3521804
Africa,Mining,Greenhouse gas,2016,496.6467011
Africa,Other Services Industries,Greenhouse gas,2016,37.5571145
Africa,Total Households,Greenhouse gas,2016,308.2311399
Africa,Total Industry and Households,Greenhouse gas,2016,3036.473007
Africa,Transportation and Storage,Greenhouse gas,2016,257.0890679
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,183.3388952
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,3166.617272
